,Latitude,Longitude
0,29.7376,-95.3962
1,29.722293681338858,-95.4070499118726
2,29.7698178120877,-95.42264757824347
3,29.731143678677974,-95.40109510803656
4,29.740060723404902,-95.45443662703431
5,29.72741810487434,-95.4375324675688
6,29.733306680316613,-95.44354763292962
7,29.736125374652616,-95.47241653022859
8,29.747126175300583,-95.42730402524083
9,29.735079253107155,-95.4189587904543
10,29.728485043674226,-95.40309274664763
11,29.7471693414371,-95.51700408696664
12,29.724188907397235,-95.41466445458418
13,29.719298716378855,-95.41328660381565
14,29.713641273969905,-95.41109987544971
15,29.73112525422718,-95.42548950398191
16,29.71537808098281,-95.3994929289326
17,29.74096292777144,-95.42673488226517
18,29.749664549107088,-95.41210513235914
19,29.7145483662576,-95.3969181076062
